index,index,1. open,2. high,3. low,4. close,5. volume,Ticker
24,12/31/2018,44.61,44.83,32.77,35.61,7830371,CRS
25,11/30/2018,44.35,46.72,39.83,43.08,6378574,CRS
26,10/31/2018,59.42,60.11,41.01,43.61,8019585,CRS
27,9/28/2018,58.9,60.78,55.46,58.95,3692226,CRS
28,8/31/2018,54.16,60.62,53.12,59.67,5018530,CRS
29,7/31/2018,51.52,58.15,51.52,54.77,4925313,CRS
30,6/29/2018,60.21,60.72,51.06,52.57,7751142,CRS
31,5/31/2018,52.83,61.49,51.96,59.94,6269342,CRS
32,4/30/2018,43.81,55.29,41.75,53.26,10510041,CRS
33,3/29/2018,51.21,53.07,42.44,44.12,9220628,CRS
34,2/28/2018,51.29,53.03,44.25,50.94,9584973,CRS
35,1/31/2018,51.36,54.61,50.87,51.4,8771714,CRS
36,12/29/2017,49.58,53.61,48.27,50.99,6177008,CRS
37,11/30/2017,50.7,51.88,44.08,49.43,5706055,CRS
38,10/31/2017,48.39,51.66,48.25,49.79,10018472,CRS
39,9/29/2017,40.83,48.19,38.38,48.03,9673663,CRS
40,8/31/2017,40.45,41.1199,37.01,40.53,8166669,CRS
41,7/31/2017,37.72,41.38,36.195,40.43,7470533,CRS
42,6/30/2017,36.59,39.99,35.01,37.43,5978143,CRS
43,5/31/2017,41,41.0499,34.95,36.47,5246096,CRS
44,4/28/2017,37.7,41.5,34.2423,40.6,5833922,CRS
45,3/31/2017,41.73,42.55,34.5,37.3,8134155,CRS
46,2/28/2017,40.46,45.335,39.17,40.56,7602173,CRS
47,1/31/2017,36.82,41.46,36.02,40.02,6528025,CRS
48,12/30/2016,35.88,40.35,34.26,36.17,8365593,CRS
49,11/30/2016,31.9,38.79,30.8201,35.77,9130784,CRS
50,10/31/2016,41.28,42.27,30.37,31.61,8839518,CRS
51,9/30/2016,36.37,42.25,34.22,41.26,7196314,CRS
52,8/31/2016,39.3,39.3,35.9975,36.28,5871509,CRS
53,7/29/2016,32.81,40.46,32.44,39.25,7930565,CRS
54,6/30/2016,31.5,35.55,29.92,32.93,7297611,CRS
55,5/31/2016,35.51,35.94,28.74,32.04,8022097,CRS
56,4/29/2016,33.65,38.16,32.4,35.41,10043513,CRS
57,3/31/2016,30.35,36.18,29.71,34.23,13154705,CRS
58,2/29/2016,27.39,32.06,25.34,29.72,16739533,CRS
59,1/29/2016,29.82,30.125,23.99,27.76,14439031,CRS
60,12/31/2015,36,36.76,27.55,30.27,10804249,CRS
61,11/30/2015,33.15,36.57,32.61,35.94,6714923,CRS
62,10/30/2015,30.05,37.18,29.25,33.31,13327161,CRS
63,9/30/2015,38.31,38.69,29.18,29.77,11394839,CRS
64,8/31/2015,37.41,40.28,34.36,39,8248153,CRS
65,7/31/2015,38.83,41.25,34.4901,37.54,9855697,CRS
66,6/30/2015,40.92,43.06,38.41,38.68,10247207,CRS
67,5/29/2015,44.01,45.42,40.41,40.84,5943256,CRS
68,4/30/2015,37.74,44.2,34.8,43.25,12868153,CRS
69,3/31/2015,42.08,42.22,36.65,38.88,10524472,CRS
70,2/27/2015,38.1,43.64,37.54,42.36,6933904,CRS
71,1/30/2015,49.3,49.7345,34.28,37.94,10204399,CRS
72,12/31/2014,50.27,52.01,45.776,49.25,6220503,CRS
73,11/28/2014,49.87,53.12,49.31,50.42,7307333,CRS
74,10/31/2014,44.77,50.752,41.43,50.05,16057045,CRS
75,9/30/2014,54.7,55.44,44.98,45.15,8166202,CRS
76,8/29/2014,54,55.2299,52.51,54.73,4999200,CRS
77,7/31/2014,63.7,64.69,54.14,54.14,7041200,CRS
78,6/30/2014,62.71,64.05,61.08,63.25,5581500,CRS
79,5/30/2014,62.85,66.84,62.23,62.49,6008600,CRS
80,4/30/2014,66.43,67,61,62.8,5975900,CRS
81,3/31/2014,58.47,66.539,57.49,66.04,6067500,CRS
82,2/28/2014,58.01,60.13,55.45,59.15,5272100,CRS
83,1/31/2014,62.04,62.8,57.31,58.11,6236300,CRS
84,12/31/2013,60.26,62.95,59.2,62.2,7704200,CRS
85,11/29/2013,59.35,62.48,59.11,60.29,5697300,CRS
86,10/31/2013,58.2,61.89,57.41,59.33,8515200,CRS
87,9/30/2013,54.04,60.01,53.46,58.11,6755700,CRS
88,8/30/2013,52.76,56.96,52.72,53.77,6526600,CRS
89,7/31/2013,45.37,55.15,45.15,52.28,7637200,CRS
90,6/28/2013,48.39,49.12,43.91,45.07,5916500,CRS
91,5/31/2013,44.54,49.86,43.74,48.16,10938200,CRS
92,4/30/2013,49.32,49.42,43.3,44.96,13296500,CRS
93,3/28/2013,46.78,49.74,45.32,49.29,8615200,CRS
94,2/28/2013,52.52,52.8,46.19,47.23,7040500,CRS
95,1/31/2013,52.95,54.54,49.89,52.33,9587100,CRS
96,12/31/2012,48.82,52.33,47.38,51.63,8695500,CRS
97,11/30/2012,48.85,51.11,44.062,48.46,10226800,CRS
98,10/31/2012,52.71,54.43,48.46,48.61,8556700,CRS
99,9/28/2012,47.06,56.48,46.382,52.32,10315700,CRS
100,8/31/2012,47.92,51.97,46.23,47.26,6191400,CRS
101,7/31/2012,47.8,49.73,43.49,47.86,8440700,CRS
102,6/29/2012,44.06,49.36,42.18,47.84,12084000,CRS
103,5/31/2012,55.43,56.9,44.06,45.06,11963300,CRS
104,4/30/2012,52.2,57.44,49.95,55.66,11360500,CRS
105,3/30/2012,51.56,53.49,48.77,52.23,10012500,CRS
106,2/29/2012,53.17,57.18,50.47,51.3,7710900,CRS
107,1/31/2012,53.31,58,51.55,52.48,6073200,CRS
108,12/30/2011,54.14,55.55,47.19,51.48,7638800,CRS
109,11/30/2011,53.4,59.04,46.55,54.14,10474000,CRS
110,10/31/2011,44.47,60,39.32,56.72,11821200,CRS
111,9/30/2011,50.92,54.69,44.34,44.89,10643700,CRS
112,8/31/2011,58.51,58.64,42.8,50.47,12462500,CRS
113,7/29/2011,57.74,59.99,53.2945,57.44,10636000,CRS
114,6/30/2011,52.24,59.04,47.5,57.68,13675900,CRS
115,5/31/2011,51.26,53.7,48.9,52.57,9644700,CRS
116,4/29/2011,42.84,51.87,40,51.26,9850800,CRS
117,3/31/2011,41.88,43.46,36.59,42.71,8805900,CRS
118,2/28/2011,41.72,45.41,39.5325,41.58,10516700,CRS
119,1/31/2011,40.78,44.94,38.79,41.15,11210400,CRS
120,12/31/2010,37.37,42.19,37.25,40.24,6291100,CRS
121,11/30/2010,36.08,38.969,34.15,36.47,6506600,CRS
122,10/29/2010,34.27,38.75,33.85,35.66,9036300,CRS
123,9/30/2010,31.56,35.62,31.49,33.71,7223600,CRS
124,8/31/2010,35.9,36.77,30.17,31.01,9206000,CRS
125,7/30/2010,32.77,38.86,31.2,34.95,10620700,CRS
126,6/30/2010,38.25,40.9,32.72,32.83,16255400,CRS
127,5/28/2010,39.48,43.02,33.02,38.91,15783800,CRS
128,4/30/2010,37.34,43.24,36.24,39.27,12506900,CRS
129,3/31/2010,29.89,38.82,29.79,36.6,12890400,CRS
