Ticker,pct change,Industry,Sector,Full Time Emp,Year
RPAI,-1.1741682974559668,Real Estate,REIT-Retail,215,2016
PATK,54.19397116644823,Consumer Cyclical,Recreational Vehicles,7500,2016
JBSS,14.774825969597952,Consumer Defensive,Packaged Foods,1370,2016
ALGT,3.563701923076927,Industrials,Airlines,4275,2016
OSUR,37.69931662870159,Healthcare,Medical Instruments & Supplies,472,2016
VG,25.10948905109489,Communication Services,Telecom Services,2264,2016
TTEC,12.42622950819672,Technology,Information Technology Services,56200,2016
BNED,3.923278116826513,Consumer Cyclical,Specialty Retail,3400,2016
IPAR,18.015267175572514,Consumer Defensive,Household & Personal Products,402,2016
BCPC,33.102955195424215,Basic Materials,Specialty Chemicals,1341,2016
NFBK,22.483725588382566,Financial Services,Banks-Regional,357,2016
CTB,6.1518661518661535,Consumer Cyclical,Auto Parts,8720,2016
TWI,73.23818019625334,Industrials,Farm & Heavy Construction Machinery,6200,2016
CTRE,33.02872062663186,Real Estate,REIT-Healthcare Facilities,52,2016
GEO,17.673253548566663,Real Estate,REIT-Healthcare Facilities,23000,2016
ITRI,47.55767700875099,Technology,Scientific & Technical Instruments,6700,2016
NMIH,50.70422535211267,Financial Services,Insurance-Property & Casualty,261,2016
NPK,25.667293233082706,Industrials,Aerospace & Defense,919,2016
HAFC,37.82234957020057,Financial Services,Banks-Regional,633,2016
ROCK,49.00360144057623,Industrials,Building Products & Equipment,1932,2016
UCBI,39.02768399729913,Financial Services,Banks-Regional,2414,2016
BGS,16.84931506849314,Consumer Defensive,Packaged Foods,2952,2016
WDFC,11.633875106929006,Basic Materials,Specialty Chemicals,522,2016
ANGO,32.898636633076464,Healthcare,Medical Instruments & Supplies,800,2016
SHEN,15.824175824175823,Communication Services,Telecom Services,1130,2016
CUB,16.66319082377477,Industrials,Aerospace & Defense,6100,2016
BEAT,57.762863534675624,Healthcare,Diagnostics & Research,1700,2016
EGOV,17.19665271966527,Technology,Software-Application,1000,2016
BFS,23.63008557273683,Real Estate,REIT-Retail,116,2016
SHAK,3.3808326348141966,Consumer Cyclical,Restaurants,7603,2016
GDOT,24.543524416135885,Financial Services,Credit Services,1200,2016
UBA,15.802571547075898,Real Estate,REIT-Retail,105,2016
IVC,-18.084291187739456,Healthcare,Medical Devices,3900,2016
BELFB,50.90614886731392,Technology,Electronic Components,6935,2016
CTS,29.687499999999993,Technology,Electronic Components,3570,2016
NP,29.06103286384977,Basic Materials,Paper & Paper Products,2324,2016
BHE,31.147540983606557,Technology,Electronic Components,10600,2016
PARR,-64.5116918844567,Energy,Oil & Gas Refining & Marketing,1408,2016
MERC,30.98591549295775,Basic Materials,Paper & Paper Products,2325,2016
MSTR,12.608915906788255,Technology,Software-Application,2073,2016
MTRX,16.475770925110126,Energy,Oil & Gas Equipment & Services,2900,2016
BKE,-24.649122807017548,Consumer Cyclical,Apparel Retail,2800,2016
ANIK,23.16176470588236,Healthcare,Biotechnology,154,2016
TUP,11.763587989357655,Consumer Cyclical,Packaging & Containers,11300,2016
MATX,-14.184797965526974,Industrials,Marine Shipping,1988,2016
IRT,23.654708520179376,Real Estate,REIT-Residential,410,2016
IVR,22.46575342465753,Real Estate,REIT-Mortgage,0,2016
LL,17.97966963151207,Consumer Cyclical,Home Improvement Retail,2090,2016
WD,23.2051282051282,Financial Services,Mortgage Finance,861,2016
ROG,38.19815128238511,Technology,Electronic Components,3600,2016
VIAV,38.87530562347188,Technology,Communication Equipment,3600,2016
BJRI,-9.134860050890595,Consumer Cyclical,Restaurants,22725,2016
OXM,-16.181606519208376,Consumer Cyclical,Apparel Manufacturing,6100,2016
NPO,33.98159144893112,Industrials,Specialty Industrial Machinery,5300,2016
HAYN,25.564084670853692,Industrials,Metal Fabrication,1037,2016
BIG,22.764389563831905,Consumer Defensive,Discount Stores,10500,2016
SHOO,9.67832167832168,Consumer Cyclical,Footwear & Accessories,2500,2016
EGBN,22.493847415914683,Financial Services,Banks-Regional,515,2016
TVTY,48.30769230769231,Healthcare,Medical Care Facilities,1000,2016
ANF,-118.66666666666666,Consumer Cyclical,Apparel Retail,8000,2016
BDN,22.289521502119936,Real Estate,REIT-Office,337,2016
EGHT,12.167832167832168,Technology,Software-Application,1675,2016
VGR,-2.550571679859287,Consumer Defensive,Tobacco,1418,2016
ITGR,-31.10356536502547,Healthcare,Medical Devices,8250,2016
BHLB,24.613297150610585,Financial Services,Banks-Regional,1507,2016
PLAB,-5.663716814159281,Technology,Semiconductor Equipment & Materials,1728,2016
UCTT,46.8041237113402,Technology,Semiconductor Equipment & Materials,3940,2016
HFWA,29.66990291262136,Financial Services,Banks-Regional,857,2016
