,Ticker,pct change,Industry,Sector,FullTimeEmployees
103,KN,26.24113475177305,Technology,Communication Equipment,8500
104,MTH,26.23138602520046,Consumer Cyclical,Residential Construction,1510
105,VRTS,26.084456128820243,Financial Services,Asset Management,578
106,BHE,26.01862630966239,Technology,Electronic Components,10600
107,VIAV,25.86666666666667,Technology,Communication Equipment,3600
108,BRKS,25.810295519542425,Technology,Semiconductor Equipment & Materials,3159
109,IRT,25.781250000000007,Real Estate,REIT-Residential,410
110,WD,25.680272108843543,Financial Services,Mortgage Finance,861
111,SYKE,25.466342254663427,Technology,Information Technology Services,54900
112,ALGT,25.304527694782802,Industrials,Airlines,4275
113,CHRS,25.242988058872527,Healthcare,Biotechnology,306
114,AAON,25.237806112123053,Industrials,Building Products & Equipment,2290
115,JBSS,25.23006134969325,Consumer Defensive,Packaged Foods,1370
116,WTS,24.949879711307137,Industrials,Specialty Industrial Machinery,4800
117,BCC,24.801532986586373,Basic Materials,Lumber & Wood Production,5900
118,TNC,24.627823408624234,Industrials,Specialty Industrial Machinery,4373
119,DEA,24.31521281078803,Real Estate,REIT-Office,37
120,VRA,24.152542372881367,Consumer Cyclical,Footwear & Accessories,2700
121,SHOO,24.087421529876774,Consumer Cyclical,Footwear & Accessories,2500
122,COKE,24.02745995423341,Consumer Defensive,Beverages-Non-Alcoholic,14800
123,HNGR,24.013038754074607,Healthcare,Medical Care Facilities,4800
124,PATK,23.898531375166893,Consumer Cyclical,Recreational Vehicles,7500
125,TTMI,23.72093023255814,Technology,Electronic Components,25700
126,SWM,23.64848773517504,Basic Materials,Paper & Paper Products,3400
127,COHU,23.23851203501095,Technology,Semiconductor Equipment & Materials,3200
128,BOOM,23.186470850022243,Energy,Oil & Gas Equipment & Services,741
129,ELY,23.160377358490567,Consumer Cyclical,Leisure,4200
130,LCII,23.046765611873425,Consumer Cyclical,Recreational Vehicles,10500
131,CHCT,22.95846943537097,Real Estate,REIT-Healthcare Facilities,25
132,PFBC,22.51622566150774,Financial Services,Banks-Regional,279
133,VVI,21.92592592592592,Industrials,Specialty Business Services,5361
134,BRC,21.91756898358365,Industrials,Security & Protection Services,5400
135,AWR,21.837488457987074,Utilities,Utilities-Regulated Water,841
136,GFF,21.741269060501715,Industrials,Tools & Accessories,7400
137,SNEX,21.707966414089704,Financial Services,Capital Markets,2950
138,JOE,21.533030761472506,Real Estate,Real Estate-Diversified,55
139,IRDM,21.347402597402603,Communication Services,Telecom Services,497
140,SKYW,21.16664087884882,Industrials,Airlines,13700
141,MTRN,21.05971404541632,Basic Materials,Other Industrial Metals & Mining,2600
142,MTOR,21.038564337533412,Consumer Cyclical,Auto Parts,8600
143,CBB,20.343839541547286,Communication Services,Telecom Services,4400
144,OMCL,20.30102790014685,Healthcare,Health Information Services,2670
145,DRQ,20.18759326369644,Energy,Oil & Gas Equipment & Services,1444
146,TBK,19.884271436086276,Financial Services,Banks-Regional,1122
147,SHAK,19.825415477589395,Consumer Cyclical,Restaurants,7603
148,DSPG,19.695044472681065,Technology,Semiconductors,340
149,TMP,19.628415300546443,Financial Services,Banks-Regional,934
150,FBC,19.346405228758165,Financial Services,Banks-Regional,4871
151,AEGN,18.864550737595003,Industrials,Engineering & Construction,4900
152,IRET,18.800000000000004,Real Estate,REIT-Residential,361
153,EVTC,18.713278495887185,Technology,Software-Infrastructure,2300
154,PRAA,18.705234159779604,Financial Services,Credit Services,3811
155,BMI,18.697058370552913,Industrials,Electrical Equipment & Parts,1567
